Interval=	0.0025 s
ExcelDateTime=	4.4993566444580458e+004	3/8/2023 13:35:40.811751
TimeFormat=	StartOfBlock
DateFormat=	
ChannelTitle=	EEG
Range=	200.0 µV
0.765	-36.45468
0.7675	-34.82709
0.77	-29.3257
0.7725	-21.15258
0.775	-11.706
0.7775	-2.311247
0.78	5.539059
0.7825	11.51222
0.785	16.23494
0.7875	19.85111
0.79	22.64597
0.7925	24.97338
0.795	25.9133
0.7975	24.5887
0.8	21.80253
0.8025	19.24968
0.805	18.07696
0.8075	18.24386
0.81	18.15492
0.8125	16.06011
0.815	12.33604
0.8175	8.541012
0.82	5.188465
0.8225	1.967738
0.825	-1.159836
0.8275	-4.698648
0.83	-9.272334
0.8325	-14.34347
0.835	-18.99736
0.8375	-23.01955
0.84	-27.1875
0.8425	-32.41794
0.845	-38.08614
0.8475	-42.30464
0.85	-44.19991
0.8525	-44.74028
0.855	-44.55105
0.8575	-42.73642
0.86	-38.61423
0.8625	-33.03677
0.865	-26.486
0.8675	-18.69111
0.87	-10.52896
0.8725	-3.411683
0.875	2.613095
0.8775	7.964613
0.88	12.3326
0.8825	15.48429
0.885	17.76949
0.8875	19.42012
0.89	20.62178
0.8925	21.86839
0.895	23.18579
0.8975	24.02482
0.9	24.03703
0.9025	22.78818
0.905	20.02577
0.9075	16.64956
0.91	14.03799
0.9125	12.84605
0.915	12.90705
0.9175	12.64708
0.92	9.684068
0.9225	3.301284
0.925	-4.61019
0.9275	-12.41204
0.93	-20.66611
0.9325	-30.14098
0.935	-39.91025
0.9375	-48.85735
0.94	-56.87404
0.9425	-63.5235
0.945	-68.02272
0.9475	-69.71687
0.95	-67.81212
0.9525	-61.81968
0.955	-52.37245
0.9575	-41.51157
0.96	-32.18098
0.9625	-26.68816
0.965	-25.6745
0.9675	-27.70665
0.97	-30.14828
0.9725	-30.59703
0.975	-28.11252
0.9775	-23.31862
0.98	-17.67739
0.9825	-12.59388
0.985	-9.535284
0.9875	-10.05252
0.99	-13.61866
0.9925	-17.42936
0.995	-19.63209
0.9975	-20.25139
1	-19.3219
1.0025	-17.13314
1.005	-15.02746
1.0075	-14.84349
1.01	-17.83989
1.0125	-23.31149
1.015	-28.44813
1.0175	-31.60576
1.02	-34.68671
1.0225	-40.43123
1.025	-48.67731
1.0275	-57.73403
1.03	-67.36001
1.0325	-77.52584
1.035	-86.86218
1.0375	-92.68623
1.04	-92.45258
1.0425	-85.51041
1.045	-73.49343
1.0475	-59.68067
1.05	-48.25978
1.0525	-40.81909
1.055	-34.0404
1.0575	-24.62553
1.06	-14.3691
1.0625	-7.520306
1.065	-5.184483
1.0675	-4.915887
1.07	-4.820921
1.0725	-5.032109
1.075	-5.744352
1.0775	-7.227988
1.08	-9.348001
1.0825	-9.497592
1.085	-5.789832
1.0875	-1.226712
1.09	-0.6443727
1.0925	-5.9275
1.095	-15.05139
1.0975	-23.38173
1.1	-27.8666
1.1025	-29.88
1.105	-31.9728
1.1075	-34.79407
1.11	-38.6162
1.1125	-44.06563
1.115	-50.45857
1.1175	-56.53807
1.12	-61.89467
1.1225	-65.69031
1.125	-66.08151
1.1275	-62.69075
1.13	-57.48422
