Interval=	0.0025 s
ExcelDateTime=	4.4993560285485742e+004	3/8/2023 13:26:48.665968
TimeFormat=	StartOfBlock
DateFormat=	
ChannelTitle=	EEG
Range=	200.0 µV
0.76	-4.701159
0.7625	-4.954121
0.765	-4.245849
0.7675	-4.081749
0.77	-4.976905
0.7725	-6.995508
0.775	-9.418835
0.7775	-11.23371
0.78	-12.649
0.7825	-14.98714
0.785	-19.15397
0.7875	-24.85448
0.79	-30.56328
0.7925	-34.34688
0.795	-35.64239
0.7975	-35.76305
0.8	-36.51108
0.8025	-38.93286
0.805	-43.12392
0.8075	-48.07508
0.81	-52.38762
0.8125	-55.6523
0.815	-58.03948
0.8175	-58.01097
0.82	-53.07648
0.8225	-44.24226
0.825	-36.26859
0.8275	-32.20829
0.83	-29.74628
0.8325	-24.57567
0.835	-15.51333
0.8375	-5.242397
0.84	3.097642
0.8425	8.378297
0.845	10.26718
0.8475	8.296538
0.85	3.375309
0.8525	-1.673692
0.855	-4.748812
0.8575	-5.716396
0.86	-5.564852
0.8625	-5.610001
0.865	-6.982485
0.8675	-10.58204
0.87	-16.52035
0.8725	-23.22089
0.875	-27.8896
0.8775	-28.99454
0.88	-27.42417
0.8825	-25.01141
0.885	-23.55836
0.8875	-24.82888
0.89	-29.44465
0.8925	-35.94494
0.895	-42.58523
0.8975	-48.78916
0.9	-54.54045
0.9025	-59.56975
0.905	-63.24994
0.9075	-64.28481
0.91	-61.45459
0.9125	-55.44448
0.915	-48.18207
0.9175	-40.64747
0.92	-33.00141
0.9225	-25.8253
0.925	-19.33279
0.9275	-13.07714
0.93	-7.000106
0.9325	-1.376137
0.935	3.93909
0.9375	9.082309
0.94	13.74354
0.9425	17.7644
0.945	21.00851
0.9475	22.8692
0.95	23.50653
0.9525	24.28422
0.955	25.9554
0.9575	27.98516
0.96	29.19834
0.9625	28.19641
0.965	24.91464
0.9675	21.48414
0.97	19.63988
0.9725	18.23829
0.975	15.05553
0.9775	9.522848
0.98	2.822861
0.9825	-3.35773
0.985	-7.860622
0.9875	-11.49076
0.99	-16.06351
0.9925	-21.02683
0.995	-24.32072
0.9975	-25.57707
1	-25.33115
1.0025	-23.22872
1.005	-19.16534
1.0075	-13.78188
1.01	-7.839143
1.0125	-2.501608
1.015	1.172264
1.0175	3.189499
1.02	4.283014
1.0225	5.481316
1.025	8.359674
1.0275	14.18598
1.03	22.18303
1.0325	30.07231
1.035	36.33531
1.0375	40.84017
1.04	43.85984
1.0425	45.71205
1.045	46.57978
1.0475	46.26314
1.05	44.71552
1.0525	42.48503
1.055	39.60248
1.0575	35.55129
1.06	30.37891
1.0625	24.66165
1.065	18.73609
1.0675	12.58874
1.07	5.808445
1.0725	-2.244741
1.075	-10.897
1.0775	-18.08207
1.08	-22.73228
1.0825	-25.48215
1.085	-26.52198
1.0875	-25.83244
1.09	-24.81309
1.0925	-24.48705
1.095	-24.2805
1.0975	-23.73807
1.1	-22.60046
1.1025	-19.5733
1.105	-13.53149
1.1075	-5.07384
1.11	4.037627
1.1125	12.07829
1.115	17.97335
1.1175	21.60453
1.12	23.64068
1.1225	24.78976
1.125	25.51417
1.1275	25.79754
1.13	25.45087
1.1325	25.0542
1.135	25.62089
1.1375	27.08991
1.14	28.48531
1.1425	29.58376
1.145	30.72298
1.1475	31.68367
1.15	31.69741
1.1525	29.97027
1.155	26.00886
1.1575	20.71598
1.16	15.98958
1.1625	11.94475
1.165	7.189583
1.1675	1.638746
1.17	-3.473996
1.1725	-7.843992
1.175	-12.21552
1.1775	-17.09904
1.18	-22.31368
1.1825	-27.15063
1.185	-30.80003
1.1875	-32.93438
1.19	-33.52621
1.1925	-31.86814
1.195	-27.02278
1.1975	-19.0064
1.2	-8.938169
1.2025	1.269975
1.205	9.852359
1.2075	16.79618
1.21	23.38154
1.2125	29.97573
1.215	35.89323
1.2175	40.38092
1.22	42.86418
1.2225	43.32581
1.225	42.75401
1.2275	41.85812
1.23	40.18654
1.2325	37.46056
1.235	34.63395
1.2375	32.33676
1.24	29.9155
1.2425	27.03966
1.245	23.86298
1.2475	20.16095
1.25	15.89692
1.2525	11.38967
1.255	6.166985
1.2575	-0.4140476
1.26	-8.390758
1.2625	-17.37756
1.265	-26.21576
1.2675	-33.40631
1.27	-38.54665
1.2725	-41.979
1.275	-43.55277
1.2775	-43.5308
1.28	-43.59204
1.2825	-44.72679
1.285	-44.7812
1.2875	-41.20891
1.29	-35.0441
1.2925	-28.45041
1.295	-20.92054
1.2975	-11.12574
1.3	0.5904184
1.3025	12.70439
1.305	23.37853
1.3075	31.43802
1.31	37.32273
1.3125	41.64362
1.315	44.09838
1.3175	44.66903
1.32	44.0653
1.3225	42.6021
1.325	40.69523
1.3275	39.21391
1.33	38.06853
1.3325	36.46197
1.335	33.7784
1.3375	29.28891
1.34	22.80963
1.3425	15.64782
1.345	8.987386
1.3475	2.56941
1.35	-4.01976
1.3525	-10.47909
1.355	-16.77387
1.3575	-23.42219
1.36	-30.54193
1.3625	-38.04527
1.365	-45.86983
1.3675	-53.08806
1.37	-58.18139
1.3725	-60.73129
1.375	-61.23352
1.3775	-59.79784
1.38	-56.68273
1.3825	-52.46522
1.385	-46.92258
1.3875	-39.2699
1.39	-29.96995
1.3925	-20.14603
1.395	-10.04734
1.3975	0.7657944
1.4	12.2117
1.4025	23.31824
1.405	32.61893
1.4075	39.43918
1.41	44.44081
1.4125	48.28335
1.415	51.01183
1.4175	52.89501
1.42	54.0933
1.4225	54.15671
