Interval=	0.0025 s
ExcelDateTime=	4.4993565691270000e+004	3/8/2023 13:34:35.725728
TimeFormat=	StartOfBlock
DateFormat=	
ChannelTitle=	EEG
Range=	200.0 µV
0	-2.956089
0.0025	-7.431088
0.005	-20.81234
0.0075	-40.17484
0.01	-56.49984
0.0125	-64.41859
0.015	-64.95609
0.0175	-62.00609
0.02	-58.69984
0.0225	-54.93109
0.025	-49.28109
0.0275	-40.69984
0.03	-28.48109
0.0325	-13.97484
0.035	-0.9123386
0.0375	8.075162
0.04	14.19391
0.0425	21.01266
0.045	30.53141
0.0475	40.00016
0.05	44.60641
0.0525	43.73766
0.055	41.67516
0.0575	41.71266
0.06	42.73766
0.0625	41.83766
0.065	37.41891
0.0675	29.62516
0.07	19.71266
0.0725	10.02516
0.075	2.287661
0.0775	-4.268589
0.08	-11.60609
0.0825	-21.42484
0.085	-34.98734
0.0875	-51.28109
0.09	-66.59359
0.0925	-77.64359
0.095	-82.45609
0.0975	-81.12484
0.1	-77.57484
0.1025	-76.33109
0.105	-77.20609
0.1075	-76.52484
0.11	-70.99984
0.1125	-59.35609
0.115	-43.63109
0.1175	-28.19359
0.12	-16.03109
0.1225	-6.774838
0.125	1.618911
0.1275	10.75641
0.13	21.14391
0.1325	31.29391
0.135	38.09391
0.1375	40.06891
0.14	38.73141
0.1425	36.91891
0.145	37.43766
0.1475	40.94391
0.15	44.51891
0.1525	44.62516
0.155	40.60641
0.1575	34.31891
0.16	27.60016
0.1625	20.82516
0.165	12.88141
0.1675	2.106411
0.17	-11.74359
0.1725	-26.52484
0.175	-39.84984
0.1775	-50.41234
0.18	-57.51234
0.1825	-61.64359
0.185	-64.45609
0.1875	-66.81859
0.19	-67.31234
0.1925	-63.36234
0.195	-53.42484
0.1975	-38.10609
0.2	-20.36859
0.2025	-4.312339
0.205	7.737662
0.2075	16.18766
0.21	22.25641
0.2125	27.38141
0.215	32.23766
0.2175	35.50016
0.22	35.41891
0.2225	32.48766
0.225	29.08141
0.2275	27.35016
0.23	28.04391
0.2325	29.82516
0.235	29.75016
0.2375	26.05641
0.24	20.41266
0.2425	15.68766
0.245	13.58141
0.2475	13.91891
0.25	13.91266
0.2525	9.687662
0.255	0.1501614
0.2575	-12.07484
0.26	-23.27484
0.2625	-31.45609
0.265	-37.78734
0.2675	-45.48109
0.27	-56.01234
0.2725	-66.65609
0.275	-72.80609
0.2775	-71.75609
0.28	-63.96234
0.2825	-51.85609
0.285	-38.41859
0.2875	-26.31234
0.29	-16.21859
0.2925	-6.543588
0.295	4.068911
0.2975	14.60641
0.3	22.41891
0.3025	25.26891
0.305	23.41891
0.3075	19.65016
0.31	17.28766
0.3125	18.39391
0.315	22.41266
0.3175	26.21266
0.32	26.72516
0.3225	26.28981
0.325	24.38809
0.3275	21.68849
0.33	19.47591
0.3325	18.03966
0.335	16.27704
0.3375	12.72652
0.34	6.510587
0.3425	-2.184011
0.345	-11.95615
0.3475	-21.06479
0.35	-28.75779
0.3525	-35.43063
0.355	-41.52147
0.3575	-47.01552
0.36	-52.31955
0.3625	-57.04215
0.365	-59.74316
0.3675	-59.60961
0.37	-56.39966
0.3725	-50.06539
0.375	-41.45491
0.3775	-31.72921
0.38	-21.34275
0.3825	-11.08755
0.385	-2.402069
0.3875	4.471173
0.39	11.12006
