Interval=	0.0025 s
ExcelDateTime=	4.4993567227716128e+004	3/8/2023 13:36:48.474674
TimeFormat=	StartOfBlock
DateFormat=	
ChannelTitle=	EEG
Range=	200.0 µV
0	-2.161119
0.0025	-3.454869
0.005	-6.636119
0.0075	-9.954869
0.01	-10.66737
0.0125	-6.761119
0.015	1.588881
0.0175	10.59513
0.02	15.65138
0.0225	16.64513
0.025	17.33888
0.0275	21.08263
0.03	27.43888
0.0325	32.55763
0.035	33.37638
0.0375	30.38263
0.04	26.01388
0.0425	21.70138
0.045	17.85138
0.0475	14.00763
0.05	8.126381
0.0525	-2.142369
0.055	-16.37362
0.0575	-31.12987
0.06	-42.72362
0.0625	-49.84237
0.065	-54.39237
0.0675	-59.05487
0.07	-64.62362
0.0725	-69.64237
0.075	-71.91112
0.0775	-69.95487
0.08	-63.96737
0.0825	-55.53612
0.085	-46.53612
0.0875	-37.90487
0.09	-28.61737
0.0925	-16.85487
0.095	-2.092369
0.0975	13.62638
0.1	26.05138
0.1025	32.26388
0.105	33.14513
0.1075	31.95763
0.11	32.35138
0.1125	36.30763
0.115	41.80763
0.1175	44.28888
0.12	40.98888
0.1225	33.10138
0.125	24.78888
0.1275	19.58263
0.13	17.57638
0.1325	16.11388
0.135	12.07013
0.1375	4.426381
0.14	-5.292369
0.1425	-14.69862
0.145	-22.15487
0.1475	-28.07362
0.15	-35.24862
0.1525	-46.27362
0.155	-60.91737
0.1575	-75.92362
0.16	-86.25487
0.1625	-88.86737
0.165	-85.37987
0.1675	-79.17987
0.17	-71.21737
0.1725	-59.67987
0.175	-42.84237
0.1775	-21.65487
0.18	0.5513807
0.1825	19.85138
0.185	33.26388
0.1875	39.92013
0.19	41.24513
0.1925	40.28888
0.195	40.09513
0.1975	40.97638
0.2	40.03263
0.2025	35.40138
0.205	28.57638
0.2075	22.59513
0.21	20.08263
0.2125	21.45138
0.215	23.68888
0.2175	22.42638
0.22	15.80763
0.2225	5.738881
0.225	-3.973619
0.2275	-10.71737
0.23	-15.12987
0.2325	-20.12362
0.235	-27.89237
0.2375	-38.04862
0.24	-47.87362
0.2425	-53.50487
0.245	-52.34862
0.2475	-45.74237
0.25	-37.88612
0.2525	-31.91737
0.255	-27.06112
0.2575	-20.27362
0.26	-9.873619
0.2625	3.326381
0.265	17.00138
0.2675	28.48263
0.27	36.22013
0.2725	40.41388
0.275	42.58888
0.2775	45.22013
0.28	49.38263
0.2825	52.79513
0.285	52.06388
0.2875	46.63888
0.29	38.76388
0.2925	30.95138
0.295	24.71388
0.2975	19.37013
0.3	12.39513
0.3025	2.770131
0.305	-7.504869
0.3075	-16.14237
0.31	-21.84862
0.3125	-24.26737
0.315	-25.23612
0.3175	-27.17987
0.32	-30.18612
0.3225	-29.76502
0.325	-29.14651
0.3275	-27.53225
0.33	-22.94799
0.3325	-16.41051
0.335	-10.35366
0.3375	-5.152666
0.34	-0.3116566
0.3425	3.677345
0.345	6.254202
0.3475	7.899715
0.35	9.217534
0.3525	10.97845
0.355	14.43417
0.3575	19.35592
0.36	24.11991
0.3625	27.76023
0.365	29.70649
0.3675	29.21551
0.37	26.06628
0.3725	20.20058
0.375	11.82309
0.3775	2.412556
0.38	-6.252562
0.3825	-13.1483
0.385	-17.81287
0.3875	-20.46395
0.39	-22.4711
0.3925	-24.76736
0.395	-26.57915
0.3975	-27.58089
0.4	-28.22351
0.4025	-28.15805
0.405	-26.76535
0.4075	-24.18598
0.41	-20.42144
0.4125	-15.96927
0.415	-12.31589
0.4175	-9.930875
0.42	-7.412575
0.4225	-3.728849
0.425	0.5742252
0.4275	5.318507
0.43	10.50472
0.4325	15.04136
0.435	18.77108
0.4375	22.51069
0.44	25.34247
0.4425	26.05931
0.445	25.68262
0.4475	25.27581
0.45	23.9752
0.4525	20.92031
0.455	16.62711
0.4575	12.09851
0.46	7.903572
0.4625	4.0285
0.465	0.07147388
0.4675	-4.179186
0.47	-7.972288
0.4725	-10.47187
0.475	-11.81143
0.4775	-12.44003
0.48	-12.27046
0.4825	-11.41098
0.485	-10.70528
0.4875	-10.78118
0.49	-11.76369
0.4925	-13.50541
0.495	-15.14497
0.4975	-16.0706
0.5	-17.15785
0.5025	-18.92484
0.505	-20.42605
0.5075	-20.7371
0.51	-19.44697
0.5125	-16.30235
0.515	-11.78164
0.5175	-6.780817
0.52	-1.222211
0.5225	4.962376
0.525	10.25647
0.5275	13.57058
0.53	15.63475
0.5325	16.89494
0.535	17.17194
0.5375	17.60397
0.54	18.97953
0.5425	19.73641
0.545	18.21594
0.5475	14.8033
0.55	10.586
0.5525	6.091402
0.555	1.564304
0.5575	-3.339893
0.56	-8.912318
0.5625	-14.18504
0.565	-18.08377
0.5675	-20.97141
0.57	-23.57265
0.5725	-26.21985
0.575	-28.70529
0.5775	-29.59442
0.58	-27.90989
0.5825	-25.29386
0.585	-23.62592
0.5875	-22.31243
0.59	-20.5312
0.5925	-19.13135
0.595	-18.69872
0.5975	-18.34779
0.6	-16.77751
0.6025	-13.51462
0.605	-8.782002
0.6075	-3.492418
0.61	0.9772724
0.6125	3.989444
0.615	6.06998
0.6175	7.622442
0.62	8.87431
0.6225	10.86129
0.625	13.60062
0.6275	15.65003
0.63	16.29332
0.6325	15.76772
0.635	13.96207
0.6375	10.72626
0.64	6.422565
0.6425	1.896109
0.645	-1.767753
0.6475	-4.308305
0.65	-6.505984
0.6525	-8.830939
0.655	-11.02664
0.6575	-12.74797
0.66	-13.00377
0.6625	-10.64478
0.665	-6.342057
0.6675	-1.905443
0.67	1.676505
0.6725	4.09089
0.675	5.365545
0.6775	6.228997
0.68	7.222766
0.6825	7.890614
0.685	7.447296
0.6875	6.18896
0.69	5.334854
0.6925	4.972671
0.695	4.486283
0.6975	4.509002
0.7	5.827201
0.7025	7.725937
0.705	9.580845
0.7075	11.58914
0.71	13.51838
0.7125	14.88458
0.715	15.71062
0.7175	16.08797
0.72	15.98383
0.7225	15.35726
0.725	14.00929
0.7275	12.33318
0.73	11.0626
0.7325	9.734836
0.735	7.431755
0.7375	4.699876
0.74	2.652544
0.7425	1.955758
0.745	3.307039
0.7475	6.676321
0.75	10.44871
0.7525	13.62088
0.755	17.2013
0.7575	21.56635
0.76	24.86841
0.7625	25.1901
0.765	21.90818
0.7675	15.64773
0.77	9.105338
0.7725	5.129785
0.775	2.76428
0.7775	-0.8573111
0.78	-4.942235
0.7825	-5.287735
0.785	0.7223612
0.7875	11.19217
0.79	21.12918
0.7925	26.94318
0.795	29.28557
0.7975	30.39316
0.8	30.5719
0.8025	29.70973
0.805	28.4489
0.8075	26.42632
0.81	22.79416
0.8125	19.07717
0.815	17.8019
0.8175	18.84225
0.82	19.91479
0.8225	19.84179
0.825	19.1624
0.8275	18.7531
0.83	18.89053
0.8325	19.03762
0.835	18.48685
0.8375	17.40274
0.84	16.6569
0.8425	16.76567
0.845	17.35648
0.8475	17.31875
0.85	14.99881
0.8525	9.840579
0.855	3.857437
0.8575	-0.9190653
0.86	-4.522411
0.8625	-7.361397
0.865	-9.349146
0.8675	-10.39176
0.87	-9.819943
0.8725	-6.71058
0.875	-1.1347
0.8775	5.807435
0.88	12.6352
0.8825	18.07155
0.885	21.61603
0.8875	24.04801
0.89	26.57513
0.8925	29.04913
0.895	30.8373
0.8975	31.91516
0.9	31.68294
0.9025	28.65556
0.905	22.48299
0.9075	15.71493
0.91	12.37958
0.9125	14.30724
0.915	19.10338
0.9175	23.23573
0.92	25.44001
0.9225	25.9645
0.925	24.12197
0.9275	18.84763
0.93	10.71508
0.9325	1.869528
0.935	-5.346144
0.9375	-10.19017
0.94	-14.12496
0.9425	-18.89695
0.945	-24.44619
0.9475	-29.01082
0.95	-31.06132
0.9525	-30.1937
0.955	-26.51373
0.9575	-20.49784
0.96	-12.93405
0.9625	-4.392103
0.965	4.303069
0.9675	11.85832
0.97	17.79452
0.9725	22.08688
0.975	24.07728
0.9775	23.62902
0.98	21.87788
0.9825	19.8598
0.985	17.54707
0.9875	14.71935
0.99	11.85417
0.9925	9.628607
0.995	8.033108
0.9975	6.631705
1	4.932393
1.0025	2.191346
1.005	-1.737546
1.0075	-5.556665
1.01	-8.114561
1.0125	-9.518733
1.015	-10.41003
1.0175	-11.11677
1.02	-11.17852
1.0225	-10.73845
1.025	-11.75907
1.0275	-15.9352
1.03	-22.52186
1.0325	-29.16524
1.035	-33.98632
1.0375	-36.32286
1.04	-36.31044
1.0425	-34.05171
1.045	-29.66218
1.0475	-23.82672
1.05	-17.57267
1.0525	-11.20149
1.055	-4.795605
1.0575	0.3363762
1.06	3.616723
1.0625	6.420305
1.065	9.165006
1.0675	10.56961
1.07	10.55506
1.0725	9.907861
1.075	8.731364
1.0775	7.720339
1.08	8.305943
1.0825	10.40527
1.085	12.5201
1.0875	14.26195
1.09	16.12462
1.0925	17.8636
1.095	18.54684
1.0975	17.47853
1.1	14.38494
1.1025	9.754373
1.105	4.853617
1.1075	-0.02032394
1.11	-5.67126
1.1125	-12.31108
1.115	-18.94267
1.1175	-24.46027
1.12	-28.41374
1.1225	-30.50126
1.125	-30.24205
1.1275	-27.58216
1.13	-23.40987
1.1325	-18.71578
1.135	-13.85751
1.1375	-9.415401
1.14	-6.831395
1.1425	-6.704611
1.145	-7.869756
1.1475	-9.287026
1.15	-10.78026
1.1525	-11.78173
1.155	-11.61003
1.1575	-10.74783
1.16	-10.30287
1.1625	-10.15592
1.165	-9.201858
1.1675	-7.477505
1.17	-6.121084
1.1725	-4.983498
1.175	-2.477965
1.1775	1.539282
1.18	4.476412
1.1825	3.933693
1.185	0.225893
1.1875	-4.805333
1.19	-9.936288
1.1925	-14.65754
1.195	-18.1507
1.1975	-19.32005
1.2	-17.51923
1.2025	-13.03589
1.205	-7.468744
1.2075	-2.839089
1.21	0.6355656
1.2125	4.260059
1.215	8.285489
1.2175	11.26476
1.22	12.31787
1.2225	12.91589
1.225	14.89971
1.2275	18.07175
1.23	20.88294
1.2325	22.2481
1.235	22.25047
1.2375	21.96764
1.24	22.12453
1.2425	22.83567
1.245	24.58867
1.2475	27.17194
1.25	29.09459
1.2525	29.82259
1.255	30.3511
1.2575	30.59068
1.26	29.60728
1.2625	28.00846
1.265	27.21182
1.2675	27.5628
1.27	28.23037
1.2725	27.45049
1.275	23.38723
1.2775	16.37578
1.28	8.360232
1.2825	0.9731075
1.285	-4.565114
1.2875	-7.485687
1.29	-7.861986
1.2925	-5.84593
1.295	-1.198614
1.2975	5.430415
1.3	12.57143
1.3025	19.15455
1.305	24.83506
1.3075	29.15216
1.31	30.73401
1.3125	28.80843
1.315	25.12264
1.3175	22.37652
1.32	21.55115
1.3225	22.14904
1.325	23.2064
1.3275	23.8701
1.33	23.9313
1.3325	23.61225
1.335	22.9262
1.3375	21.81079
1.34	20.57682
1.3425	19.62681
1.345	19.25498
1.3475	19.09575
1.35	17.93944
1.3525	15.30561
1.355	12.43122
1.3575	10.0235
1.36	7.912227
1.3625	6.889725
1.365	7.268526
1.3675	7.778014
1.37	7.704294
1.3725	7.395579
1.375	7.033422
1.3775	6.741348
1.38	6.155729
1.3825	3.846624
1.385	-0.6422709
1.3875	-5.527923
1.39	-8.822651
1.3925	-9.685837
1.395	-8.255493
1.3975	-5.650666
1.4	-2.88149
1.4025	-0.3407562
1.405	2.036529
1.4075	4.705473
1.41	7.653603
1.4125	10.05731
1.415	11.52757
1.4175	12.19778
1.42	12.15711
1.4225	11.36141
1.425	9.409573
1.4275	6.70353
1.43	4.453448
1.4325	2.836602
1.435	1.252239
1.4375	-0.2970564
1.44	-1.885741
1.4425	-3.932196
1.445	-5.989239
1.4475	-7.652138
1.45	-9.051242
