Interval=	0.0025 s
ExcelDateTime=	4.4993564181771202e+004	3/8/2023 13:32:25.305032
TimeFormat=	StartOfBlock
DateFormat=	
ChannelTitle=	EEG
Range=	200.0 µV
0	-2.868743
0.0025	-4.518743
0.005	-8.943742
0.0075	-14.40624
0.01	-17.31874
0.0125	-16.28124
0.015	-13.02499
0.0175	-10.52499
0.02	-10.74999
0.0225	-13.15624
0.025	-15.53124
0.0275	-15.46874
0.03	-12.35624
0.0325	-8.974992
0.035	-9.443742
0.0375	-14.79999
0.04	-22.14999
0.0425	-27.94999
0.045	-30.28749
0.0475	-29.90624
0.05	-30.19999
0.0525	-34.46874
0.055	-42.06874
0.0575	-48.84374
0.06	-51.26249
0.0625	-48.84374
0.065	-43.72499
0.0675	-39.03749
0.07	-36.46874
0.0725	-34.95624
0.075	-32.64999
0.0775	-28.26249
0.08	-21.70624
0.0825	-15.23124
0.085	-11.98124
0.0875	-12.40624
0.09	-14.26874
0.0925	-15.18749
0.095	-13.30624
0.0975	-8.768742
0.1	-4.387493
0.1025	-2.868743
0.105	-4.056243
0.1075	-5.349993
0.11	-4.231243
0.1125	-0.8624928
0.115	1.968757
0.1175	1.618757
0.12	-2.506243
0.1225	-8.637492
0.125	-14.22499
0.1275	-17.91249
0.13	-20.45624
0.1325	-24.32499
0.135	-31.21874
0.1375	-40.30624
0.14	-48.91874
0.1425	-54.05624
0.145	-54.36874
0.1475	-52.35624
0.15	-52.12499
0.1525	-54.69999
0.155	-57.51249
0.1575	-57.90624
0.16	-55.49374
0.1625	-50.76249
0.165	-44.25624
0.1675	-37.93124
0.17	-34.09999
0.1725	-32.31249
0.175	-30.56249
0.1775	-27.72499
0.18	-22.96874
0.1825	-16.39374
0.185	-10.91249
0.1875	-9.643742
0.19	-12.46249
0.1925	-16.28124
0.195	-17.39374
0.1975	-14.78749
0.2	-11.72499
0.2025	-12.01874
0.205	-15.21874
0.2075	-18.08124
0.21	-19.26249
0.2125	-20.06249
0.215	-21.47499
0.2175	-23.48124
0.22	-26.76249
0.2225	-32.32499
0.225	-39.56874
0.2275	-45.86874
0.23	-49.01874
0.2325	-49.83749
0.235	-51.09999
0.2375	-54.64374
0.24	-59.36874
0.2425	-61.71874
0.245	-58.86249
0.2475	-51.86249
0.25	-44.74374
0.2525	-40.43124
0.255	-38.90624
0.2575	-38.33124
0.26	-36.49999
0.2625	-32.16874
0.265	-26.44374
0.2675	-21.69999
0.27	-18.79999
0.2725	-16.64374
0.275	-13.88124
0.2775	-9.774992
0.28	-4.624993
0.2825	-0.2312428
0.285	1.281257
0.2875	-0.2124928
0.29	-2.737493
0.2925	-4.049993
0.295	-3.224993
0.2975	-1.043743
0.3	0.4375072
0.3025	-1.293743
0.305	-6.999992
0.3075	-14.49999
0.31	-20.48124
0.3125	-23.03124
0.315	-23.21874
0.3175	-24.74374
0.32	-29.74999
0.3225	-33.21352
0.325	-35.78066
0.3275	-38.10847
0.33	-40.31068
0.3325	-42.24913
0.335	-43.50642
0.3375	-42.84976
0.34	-39.95666
0.3425	-35.9276
0.345	-30.81635
0.3475	-23.64141
0.35	-14.79561
0.3525	-5.956333
0.355	1.738328
0.3575	8.041228
0.36	13.42764
0.3625	18.17472
0.365	21.24593
0.3675	21.67705
0.37	20.48146
0.3725	19.8174
0.375	20.72694
0.3775	22.60076
0.38	24.23066
0.3825	24.9886
0.385	24.68945
0.3875	23.21899
0.39	20.6662
0.3925	17.12388
0.395	13.46453
0.3975	10.8887
0.4	8.580725
0.4025	4.037855
0.405	-3.566161
0.4075	-13.07927
0.41	-23.22749
0.4125	-33.37847
0.415	-43.10589
0.4175	-51.3543
0.42	-56.79233
0.4225	-58.87124
0.425	-58.4639
0.4275	-56.57626
0.43	-52.50684
0.4325	-45.20625
0.435	-35.63129
0.4375	-25.46993
0.44	-15.34136
0.4425	-5.306789
0.445	4.710618
0.4475	14.31717
0.45	23.08549
0.4525	31.20944
0.455	38.56456
0.4575	43.96555
0.46	46.2477
0.4625	45.40562
0.465	42.50818
0.4675	38.97815
0.47	35.64743
0.4725	32.25245
0.475	27.80131
0.4775	21.78218
0.48	14.61914
0.4825	6.764969
0.485	-2.019678
0.4875	-11.81044
0.49	-21.59234
0.4925	-30.58583
0.495	-39.15341
0.4975	-47.5812
0.5	-56.2437
0.5025	-65.25643
0.505	-72.61797
0.5075	-76.16986
0.51	-75.81028
0.5125	-72.3381
0.515	-66.57606
0.5175	-59.65573
0.52	-52.16229
0.5225	-43.69605
0.525	-33.72191
0.5275	-22.43169
0.53	-10.97414
0.5325	-0.3725426
0.535	9.846308
0.5375	20.57061
0.54	30.92586
0.5425	38.92738
