Interval=	0.0025 s
ExcelDateTime=	4.4993564936436749e+004	3/8/2023 13:33:30.508135
TimeFormat=	StartOfBlock
DateFormat=	
ChannelTitle=	EEG
Range=	200.0 µV
0.1	-21.86554
0.1025	-19.12804
0.105	-16.90929
0.1075	-17.42179
0.11	-20.78429
0.1125	-25.04679
0.115	-27.80304
0.1175	-27.32179
0.12	-23.79054
0.1225	-19.43429
0.125	-16.42179
0.1275	-14.73429
0.13	-12.59679
0.1325	-8.196787
0.135	-1.421788
0.1375	5.190712
0.14	8.184463
0.1425	6.390712
0.145	1.678212
0.1475	-3.053038
0.15	-5.015538
0.1525	-3.103038
0.155	0.0219624
0.1575	0.2657124
0.16	-2.790538
0.1625	-6.190538
0.165	-7.353037
0.1675	-5.234288
0.17	-1.165538
0.1725	1.109462
0.175	-0.9905376
0.1775	-5.815538
0.18	-9.509287
0.1825	-9.559287
0.185	-6.203038
0.1875	-2.165538
0.19	-0.8780376
0.1925	-3.721788
0.195	-8.884287
0.1975	-12.61554
0.2	-11.67804
0.2025	-6.153038
0.205	-0.1030376
0.2075	2.240712
0.21	0.2782124
0.2125	-3.209288
0.215	-5.078038
0.2175	-3.484288
0.22	0.9844624
0.2225	4.971962
0.225	5.340712
0.2275	1.953212
0.23	-3.053038
0.2325	-6.671787
0.235	-6.396788
0.2375	-3.296788
0.24	-1.659288
0.2425	-4.121788
0.245	-9.196787
0.2475	-13.42804
0.25	-14.90929
0.2525	-14.26554
0.255	-13.20304
0.2575	-13.19679
0.26	-15.17179
0.2625	-18.38429
0.265	-19.97804
0.2675	-17.55304
0.27	-12.31554
0.2725	-8.540537
0.275	-9.796787
0.2775	-15.69054
0.28	-22.38429
0.2825	-26.19679
0.285	-25.92179
0.2875	-22.96554
0.29	-19.96554
0.2925	-18.48429
0.295	-17.95929
0.2975	-17.32804
0.3	-15.97804
0.3025	-13.75929
0.305	-11.44054
0.3075	-10.59679
0.31	-12.32179
0.3125	-15.29054
0.315	-16.10929
0.3175	-12.82804
0.32	-7.215537
0.3225	-5.825324
0.325	-4.895985
0.3275	-3.688946
0.33	-2.373223
0.3325	-2.172614
0.335	-3.1093
0.3375	-3.900184
0.34	-4.112459
0.3425	-4.316697
0.345	-4.681131
0.3475	-5.081853
0.35	-5.259027
0.3525	-4.726181
0.355	-3.666471
0.3575	-2.79602
0.36	-2.441269
0.3625	-2.023147
0.365	-0.9687881
0.3675	0.6351288
0.37	1.960118
0.3725	2.252467
0.375	1.681013
0.3775	0.6643594
0.38	-0.7452898
0.3825	-2.345746
0.385	-3.670876
0.3875	-5.003759
0.39	-7.086879
0.3925	-9.605067
0.395	-10.95969
0.3975	-10.38723
0.4	-9.025882
0.4025	-8.114653
0.405	-7.973624
0.4075	-8.674161
0.41	-10.06919
0.4125	-11.7974
0.415	-13.46007
0.4175	-14.24195
0.42	-13.49648
0.4225	-11.52094
0.425	-8.577965
0.4275	-4.848886
0.43	-1.722306
0.4325	-0.6220318
0.435	-0.8176117
0.4375	-0.3057811
0.44	1.811885
0.4425	4.824685
0.445	7.114146
0.4475	7.917708
0.45	8.204424
0.4525	8.774118
0.455	8.705611
0.4575	7.020689
0.46	4.861364
0.4625	3.734225
0.465	2.980112
0.4675	1.010147
0.47	-2.502703
0.4725	-7.131179
0.475	-12.26665
0.4775	-16.27858
0.48	-17.79583
0.4825	-17.58405
0.485	-17.1729
0.4875	-16.85032
0.49	-16.35051
0.4925	-15.85235
0.495	-15.39263
0.4975	-15.40574
0.5	-16.50217
0.5025	-18.74372
0.505	-22.37854
0.5075	-26.85372
0.51	-30.00755
0.5125	-30.69362
0.515	-30.43304
0.5175	-30.66144
0.52	-30.7213
0.5225	-29.73778
0.525	-28.84263
0.5275	-30.4061
0.53	-35.42903
0.5325	-41.65631
0.535	-44.28215
0.5375	-41.19565
0.54	-36.28597
0.5425	-33.95182
0.545	-34.09328
0.5475	-34.59906
0.55	-34.3424
0.5525	-32.95124
0.555	-30.46552
0.5575	-27.26024
0.56	-23.61339
0.5625	-19.85682
0.565	-16.61795
0.5675	-14.27665
0.57	-12.78802
0.5725	-11.94186
0.575	-11.27141
0.5775	-10.35934
0.58	-9.273702
0.5825	-8.063136
0.585	-6.514917
0.5875	-4.576262
0.59	-2.762419
0.5925	-2.110439
0.595	-3.222852
0.5975	-5.898232
0.6	-9.141365
0.6025	-11.76128
0.605	-13.7917
0.6075	-16.15923
0.61	-18.80469
0.6125	-21.20154
0.615	-23.90881
0.6175	-27.35576
0.62	-30.63221
0.6225	-32.42205
0.625	-32.01952
0.6275	-29.14785
0.63	-24.09868
0.6325	-18.56475
0.635	-14.48192
0.6375	-12.7529
0.64	-12.76045
0.6425	-12.2424
0.645	-9.66324
0.6475	-6.62067
0.65	-5.137681
0.6525	-4.483097
0.655	-3.718766
0.6575	-3.57322
0.66	-4.087962
0.6625	-4.229818
0.665	-4.159882
0.6675	-4.63959
0.67	-5.599928
0.6725	-7.073267
0.675	-9.35305
0.6775	-12.05852
0.68	-14.27655
0.6825	-15.36817
0.685	-15.45843
0.6875	-15.24609
0.69	-14.90142
0.6925	-13.36091
0.695	-9.982578
0.6975	-6.390877
0.7	-4.962609
0.7025	-6.164762
0.705	-8.057811
0.7075	-8.357863
0.71	-6.643388
0.7125	-4.103256
0.715	-1.701312
0.7175	0.4864611
0.72	2.331454
0.7225	2.323971
0.725	-1.153976
0.7275	-6.416422
0.73	-9.965607
0.7325	-11.27879
0.735	-12.82031
0.7375	-16.44962
0.74	-21.66963
0.7425	-26.26223
0.745	-28.60151
0.7475	-29.82286
0.75	-31.49454
0.7525	-32.4702
0.755	-31.10392
0.7575	-28.75494
0.76	-28.18975
0.7625	-30.01678
0.765	-32.23405
0.7675	-31.98781
0.77	-28.17019
0.7725	-22.36985
0.775	-16.76638
0.7775	-12.36815
0.78	-10.0108
0.7825	-9.684869
0.785	-9.685574
0.7875	-9.109564
0.79	-8.697871
0.7925	-8.45245
0.795	-7.680441
0.7975	-6.460707
0.8	-5.049471
