Interval=	0.0025 s
ExcelDateTime=	4.4993563407653121e+004	3/8/2023 13:31:18.42123
TimeFormat=	StartOfBlock
DateFormat=	
ChannelTitle=	EEG
Range=	200.0 µV
0	3.455109
0.0025	1.717609
0.005	-2.638641
0.0075	-8.051141
0.01	-13.33864
0.0125	-20.19489
0.015	-29.99489
0.0175	-41.46364
0.02	-52.19489
0.0225	-59.93239
0.025	-64.21989
0.0275	-67.24489
0.03	-71.79489
0.0325	-78.08864
0.035	-83.78239
0.0375	-86.33239
0.04	-84.29489
0.0425	-78.96364
0.045	-73.96989
0.0475	-71.30114
0.05	-69.43864
0.0525	-65.53239
0.055	-57.80114
0.0575	-46.61364
0.06	-34.28864
0.0625	-23.64489
0.065	-16.37614
0.0675	-12.32614
0.07	-9.626141
0.0725	-5.663641
0.075	0.4988594
0.0775	6.286359
0.08	8.298859
0.0825	6.492609
0.085	3.780109
0.0875	2.830109
0.09	4.023859
0.0925	5.411359
0.095	4.192609
0.0975	-0.9573906
0.1	-8.932391
0.1025	-17.59489
0.105	-25.03239
0.1075	-29.75114
0.11	-31.94489
0.1125	-34.24489
0.115	-38.92614
0.1175	-44.91364
0.12	-48.95114
0.1225	-48.46989
0.125	-43.41364
0.1275	-36.31989
0.13	-30.02614
0.1325	-25.20739
0.135	-20.93864
0.1375	-16.09489
0.14	-9.169891
0.1425	0.2113594
0.145	9.280109
0.1475	14.21761
0.15	13.18011
0.1525	6.555109
0.155	-2.876141
0.1575	-9.801141
0.16	-10.61364
0.1625	-7.469891
0.165	-5.219891
0.1675	-5.994891
0.17	-7.944891
0.1725	-7.876141
0.175	-5.094891
0.1775	-2.688641
0.18	-3.688641
0.1825	-8.201141
0.185	-14.96989
0.1875	-22.50739
0.19	-27.76364
0.1925	-28.22614
0.195	-26.12614
0.1975	-25.68239
0.2	-27.35739
0.2025	-28.26989
0.205	-25.57614
0.2075	-18.17614
0.21	-7.682391
0.2125	1.848859
0.215	6.911359
0.2175	7.692609
0.22	7.617609
0.2225	9.380109
0.225	12.43636
0.2275	14.16136
0.23	12.21761
0.2325	6.598859
0.235	-0.2761406
0.2375	-5.269891
0.24	-6.544891
0.2425	-4.807391
0.245	-2.619891
0.2475	-1.926141
0.25	-2.644891
0.2525	-3.094891
0.255	-0.8823906
0.2575	4.542609
0.26	10.15511
0.2625	12.39886
0.265	11.00511
0.2675	7.717609
0.27	3.867609
0.2725	1.292609
0.275	1.386359
0.2775	2.173859
0.28	0.4051094
0.2825	-4.032391
0.285	-8.382391
0.2875	-9.919891
0.29	-7.544891
0.2925	-3.013641
0.295	0.3051094
0.2975	0.1738594
0.3	-2.732391
0.3025	-5.544891
0.305	-5.557391
0.3075	-2.007391
0.31	3.111359
0.3125	6.161359
0.315	4.898859
0.3175	0.3863594
0.32	-4.176141
0.3225	-6.356682
0.325	-8.496729
0.3275	-10.89655
0.33	-13.46616
0.3325	-15.47481
0.335	-16.95773
0.3375	-18.84196
0.34	-20.97443
0.3425	-22.09215
0.345	-22.0904
0.3475	-21.9302
0.35	-21.27767
0.3525	-19.30217
0.355	-16.40483
0.3575	-13.3264
0.36	-10.9535
0.3625	-10.31358
0.365	-11.0239
0.3675	-11.7133
0.37	-12.25545
0.3725	-13.02797
0.375	-13.77231
0.3775	-14.00402
0.38	-12.94741
0.3825	-10.14074
0.385	-6.340497
0.3875	-2.476639
0.39	1.688467
0.3925	6.470691
0.395	11.17096
0.3975	15.4445
0.4	19.92155
0.4025	24.11816
0.405	26.35415
0.4075	26.32756
0.41	24.63389
0.4125	20.78481
0.415	14.45485
0.4175	6.980985
0.42	-0.1997684
0.4225	-6.855788
0.425	-12.59986
0.4275	-16.52549
0.43	-18.41916
0.4325	-18.7649
0.435	-18.50356
0.4375	-18.66592
0.44	-18.83224
0.4425	-17.60929
0.445	-15.00553
0.4475	-11.81714
0.45	-8.031805
0.4525	-3.155882
0.455	2.935319
0.4575	9.717191
0.46	16.03816
0.4625	21.3841
0.465	26.49741
0.4675	31.71615
0.47	36.10164
0.4725	38.99395
0.475	41.04933
0.4775	42.7677
0.48	43.65995
0.4825	43.24608
0.485	41.39754
0.4875	37.54005
0.49	31.39364
0.4925	23.98722
0.495	16.36069
0.4975	8.420598
0.5	-0.4099162
0.5025	-10.40295
0.505	-20.7109
0.5075	-29.62083
0.51	-36.549
0.5125	-41.90003
0.515	-45.45932
0.5175	-46.95392
0.52	-47.10096
0.5225	-46.45761
0.525	-44.59142
0.5275	-41.36624
0.53	-36.95327
0.5325	-30.59219
0.535	-21.83989
0.5375	-11.99571
0.54	-2.237603
0.5425	7.320668
0.545	15.96483
0.5475	22.3156
0.55	25.36935
0.5525	24.93432
0.555	22.53471
0.5575	20.66326
0.56	19.65277
0.5625	17.65784
0.565	14.35661
0.5675	11.50293
0.57	10.01853
0.5725	9.189644
0.575	7.459023
0.5775	3.288185
0.58	-3.479845
0.5825	-11.45873
0.585	-19.30495
0.5875	-26.65621
0.59	-33.48366
0.5925	-40.16177
0.595	-47.49191
0.5975	-55.6285
0.6	-63.49609
0.6025	-69.87203
0.605	-74.44896
0.6075	-77.00535
0.61	-77.00239
0.6125	-73.5262
0.615	-65.77151
0.6175	-54.39118
0.62	-41.77613
0.6225	-30.10158
0.625	-19.73402
0.6275	-10.66661
0.63	-2.929412
0.6325	4.189309
0.635	10.79302
0.6375	15.48501
0.64	17.56288
0.6425	18.07099
0.645	18.23417
0.6475	18.65259
0.65	19.21589
0.6525	19.31037
0.655	18.98751
0.6575	19.03887
0.66	19.21479
0.6625	17.78904
0.665	13.47908
0.6675	6.494851
0.67	-2.597705
0.6725	-12.75743
0.675	-22.03306
0.6775	-29.44015
0.68	-35.26495
0.6825	-39.07773
0.685	-40.1362
0.6875	-39.31243
0.69	-37.97019
0.6925	-36.44812
0.695	-34.72158
